Event_id,Category,Location,Qualifications,Age
E82,Youth Development,Yogyakarta,Content creation,18-24
E83,Youth Development,Bogor,"Content creation, Public speaking",18-24
E84,Youth Development,Kalimantan Selatan,Content creation,>17
E85,Youth Development,Bandung,Team building,18-24
E86,Youth Development,Bali,"First aid, Team building",All
E87,Youth Development,Jabodetabek,Event planning,18-24
E88,Youth Development,Yogyakarta,"Computer literacy, Health education",All
E89,Youth Development,Bali,"Content creation, Public speaking",18-24
E90,Youth Development,Bali,Computer literacy,21-27
E91,Youth Development,Bekasi,Leadership development,18-24
E92,Youth Development,Tangerang,"Leadership development, Leadership training",15-35
E93,Youth Development,Indonesia,"Communication, Youth mentoring",21-27
E94,Youth Development,Yogyakarta,"Environmental education, Leadership training",All
E95,Youth Development,"Maluku, Banda Neira","Team building, Volunteer management",All
E96,Youth Development,Depok,"Leadership development, Volunteer management",All
E97,Youth Development,Bali,Communication,18-24
E98,Youth Development,Tangerang,Public relation,16-38
E99,Youth Development,Yogyakarta,Art therapy,18-24
E100,Youth Development,Jabodetabek,"Mentoring, Tutoring",15-35
E101,Youth Development,Jabodetabek,"Public speaking, Public speaking",21-27
E102,Youth Development,Bali,"Advocacy, Public speaking",21-27
E103,Youth Development,Bali,Art therapy,18-24
E104,Youth Development,Kalimantan Selatan,Computer literacy,17-30
E105,Youth Development,Kalimantan Selatan,"Communication, Event coordination",>20
E106,Youth Development,Jabodetabek,Photography,18-24
E107,Youth Development,Bali,Mentoring,16-38
E108,Youth Development,Jabodetabek,Mentoring,16-38
E109,Youth Development,Jabodetabek,Public speaking,15-35
E110,Youth Development,Tangerang,"Mentoring, Public speaking, Teaching",15-35
E111,Youth Development,Bandung,"Content creation, English language tutoring",15-35
E112,Youth Development,Bali,"Event planning, Volunteer management, Teaching",17-30
E113,Youth Development,Bandung,Art therapy,16-38
E114,Youth Development,Yogyakarta,"Leadership development, Team management",18-24
E115,Youth Development,Jabodetabek,Public relation,18-24
E116,Youth Development,Jakarta,"Mentoring, Public speaking, Public relation",All
E117,Youth Development,Depok,"Photography, Health education",18-24
E118,Youth Development,Tangerang,"Photography, Team management",>17
E119,Youth Development,Bandung,"Leadership development, Tutoring, Youth mentoring",18-24
E120,Youth Development,"Maluku, Banda Neira","Event planning, Youth mentoring",17-30
E121,Youth Development,"Maluku, Banda Neira",Public relation,16-38
E122,Youth Development,Bandung,First aid,16-38
E123,Youth Development,Bandung,"Art therapy, Youth mentoring",>17
E124,Youth Development,Depok,Leadership development,21-27
E125,Youth Development,Tangerang,Computer literacy,18-24
E126,Youth Development,Jabodetabek,"Advocacy, English language tutoring",18-24
E127,Youth Development,Bandung,"Mentoring, Teaching",16-38
E128,Youth Development,Bali,Communication,All
E129,Youth Development,Bali,Content creation,18-24
E130,Youth Development,Bali,"Content creation, Team building",>20
E131,Youth Development,Yogyakarta,"Advocacy, English language tutoring",16-38
E132,Youth Development,Bekasi,"Photography, Health education",18-24
E133,Youth Development,Yogyakarta,"Volunteer coordination, Team management, Teaching",21-27
E134,Youth Development,Bali,"First aid, Public speaking",16-38
E135,Youth Development,Bandung,"Leadership development, Team management",>17
E136,Youth Development,Jabodetabek,"Content creation, Public speaking",16-38
E137,Youth Development,Tangerang,"Team building, Leadership training",>20
E138,Youth Development,Depok,Event planning,17-30
E139,Youth Development,Bogor,"Mentoring, Public speaking",18-24
E140,Youth Development,Depok,"Computer literacy, Health education",15-35
E141,Youth Development,Bandung,"Event planning, Public relation",15-35
E142,Youth Development,Yogyakarta,"Mentoring, Team building, Teaching",16-38
E143,Youth Development,Tangerang,"Public relation, Public speaking",18-24
E144,Youth Development,Bali,Art therapy,16-38
E145,Youth Development,Yogyakarta,"Advocacy, Health education",>18
E146,Youth Development,Bali,Content creation,18-24
E147,Youth Development,Tangerang,"Leadership development, Event coordination",>20
E148,Youth Development,Bali,"Communication, Team management",15-35
E149,Youth Development,Indonesia,"Environmental education, Public speaking",15-35
E150,Youth Development,Yogyakarta,"Content creation, Youth mentoring",>17
E151,Youth Development,Bali,"Public relation, Public relation",16-38
E152,Youth Development,Bali,"Mentoring, Tutoring",15-35
E153,Youth Development,Kalimantan Selatan,Environmental education,All
E154,Youth Development,Bali,"Content creation, English language tutoring",>18
E155,Youth Development,Yogyakarta,"Advocacy, Public speaking",16-38
E156,Youth Development,Tangerang,"Volunteer coordination, Team building",16-38
E157,Youth Development,"Maluku, Banda Neira","Art therapy, Youth mentoring",16-38
E158,Youth Development,Yogyakarta,Photography,>17
E159,Youth Development,Indonesia,Volunteer coordination,21-27
E160,Youth Development,Kalimantan Selatan,"Event planning, Event coordination, Public relation",>20
E161,Youth Development,Yogyakarta,"Content creation, Health education",15-35
E162,Youth Development,Indonesia,Environmental education,17-30
E163,Youth Development,Bekasi,Environmental education,21-27
E164,Youth Development,Depok,"Mentoring, Public speaking, Teaching",All
E165,Youth Development,Jawa Barat,Mentoring,18-24
E166,Youth Development,Jakarta,"Team building, Event coordination",15-35
E167,Youth Development,Bandung,"Mentoring, Event coordination",15-35
E168,Youth Development,Jabodetabek,"Art therapy, English language tutoring",16-38
E169,Youth Development,Indonesia,"Communication, Tutoring, Public relation",15-35
E170,Youth Development,Bogor,Mentoring,18-24
E171,Youth Development,Bandung,Leadership development,>18
E172,Youth Development,Jakarta,"Event planning, Event coordination, English language tutoring",15-35
E173,Youth Development,Kalimantan Selatan,Computer literacy,17-30
E174,Youth Development,Jakarta,"Event planning, Volunteer management",>20
E175,Youth Development,Tangerang,"Art therapy, Youth mentoring",16-38
E176,Youth Development,Bandung,"Computer literacy, Event coordination",18-24
E177,Youth Development,Jakarta,Event planning,>17
E178,Youth Development,Depok,"Environmental education, Public speaking",18-24
E179,Youth Development,Tangerang,"Volunteer coordination, Team management",All
E180,Youth Development,Bali,"Volunteer coordination, Event coordination",16-38
E181,Youth Development,Indonesia,"Team building, Public speaking",>18
E182,Youth Development,Jabodetabek,Art therapy,16-38
E183,Youth Development,"Maluku, Banda Neira","Leadership development, Team building",16-38
E184,Youth Development,Bali,Leadership development,18-24
E185,Youth Development,Jakarta,"Event planning, Event coordination, English language tutoring",16-38
E186,Youth Development,Jabodetabek,Public speaking,18-24
E187,Youth Development,Jawa Barat,"Content creation, Team management",18-24
E188,Youth Development,Bandung,"Communication, Team building",All
E189,Youth Development,Jawa Barat,Volunteer coordination,18-24
E190,Youth Development,Tangerang,Public speaking,All
E191,Youth Development,Yogyakarta,Advocacy,18-24
E192,Youth Development,Yogyakarta,"Communication, Team management",18-24
E193,Youth Development,Bali,"First aid, Team building, English language tutoring",All
E194,Youth Development,Kalimantan Selatan,Environmental education,18-24
E195,Youth Development,Bekasi,Environmental education,18-24
E196,Youth Development,Indonesia,"Environmental education, Event coordination",15-35
E197,Youth Development,Yogyakarta,"Mentoring, Public speaking",15-35
E198,Youth Development,Yogyakarta,"Mentoring, Tutoring",15-35
E199,Youth Development,Bali,Public relation,18-24
E200,Youth Development,Jawa Barat,"Public speaking, English language tutoring",15-35
E201,Youth Development,Jakarta,"Photography, Tutoring, English language tutoring",>20
E202,Youth Development,Indonesia,Communication,18-24
E203,Youth Development,Bali,"Mentoring, Leadership training, Teaching",21-27
E204,Youth Development,Bandung,"Art therapy, Public speaking",18-24
E205,Youth Development,Jabodetabek,"Art therapy, Tutoring, Public speaking",15-35
E206,Youth Development,Bali,"Public speaking, Event coordination, Public relation",16-38
E207,Youth Development,Bali,"Photography, Teaching",All
E208,Youth Development,Depok,"Leadership development, Leadership training",18-24
E209,Youth Development,Bali,"Volunteer coordination, Public speaking",All
E210,Youth Development,Indonesia,Public relation,18-24
E211,Youth Development,Tangerang,"Computer literacy, Public relation",>17
E212,Youth Development,Kalimantan Selatan,"Environmental education, Health education",All
E213,Youth Development,Jawa Barat,"Environmental education, Tutoring",17-30
E214,Youth Development,Tangerang,"Communication, Leadership training",All
E215,Youth Development,Bali,"Content creation, English language tutoring",16-38
E216,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E217,Youth Development,Bandung,"Leadership development, Tutoring, English language tutoring",18-24
E218,Youth Development,"Maluku, Banda Neira",Public relation,18-24
E219,Youth Development,Jawa Barat,"Leadership development, Event coordination",All
E220,Youth Development,"Maluku, Banda Neira","Event planning, Public relation",15-35
E221,Youth Development,Jawa Barat,"Team building, Health education",>17
E222,Youth Development,Tangerang,Environmental education,18-24
E223,Youth Development,Depok,"Volunteer coordination, Team management",All
E224,Youth Development,Indonesia,"Public relation, Leadership training",All
E225,Youth Development,Indonesia,Environmental education,18-24
E226,Youth Development,Jawa Barat,"Mentoring, Team management, Teaching",15-35
E227,Youth Development,Jawa Barat,Environmental education,>18
E228,Youth Development,Jakarta,"Content creation, Event coordination, Public relation",21-27
E229,Youth Development,Bogor,"Environmental education, English language tutoring",16-38
E230,Youth Development,Kalimantan Selatan,Leadership development,18-24
E231,Youth Development,Yogyakarta,"Photography, Team building",>18
E232,Youth Development,Bandung,"Public relation, Health education",18-24
E233,Youth Development,Jakarta,"Art therapy, Event coordination",>17
E234,Youth Development,Jakarta,"Volunteer coordination, Tutoring, Public speaking",17-30
E235,Youth Development,Jawa Barat,"Public relation, Leadership training",>18
E236,Youth Development,Bandung,Team building,18-24
E237,Youth Development,Indonesia,"Communication, Team building",18-24
E238,Youth Development,Kalimantan Selatan,Mentoring,16-38
E239,Youth Development,Yogyakarta,"Leadership development, Leadership training",21-27
E240,Youth Development,Bali,"Communication, Health education",All
E241,Youth Development,Jawa Barat,"Public speaking, English language tutoring",21-27
E242,Youth Development,Bali,Art therapy,15-35
E243,Youth Development,Jakarta,"Public speaking, Team management",18-24
E244,Youth Development,"Maluku, Banda Neira",Content creation,16-38
E245,Youth Development,Jakarta,"Event planning, Event coordination",>20
E246,Youth Development,Depok,"Computer literacy, Tutoring",17-30
E247,Youth Development,Jabodetabek,"Public speaking, Volunteer management, Teaching",15-35
E248,Youth Development,Bandung,"Art therapy, English language tutoring",All
E249,Youth Development,Kalimantan Selatan,"Volunteer coordination, Youth mentoring",16-38
E250,Youth Development,Jabodetabek,First aid,18-24
E251,Youth Development,Jakarta,"Leadership development, Public speaking",>20
E252,Youth Development,Bandung,"Mentoring, Tutoring, Teaching",15-35
E253,Youth Development,Tangerang,"Environmental education, Team building",All
E254,Youth Development,Bogor,Team building,17-30
E255,Youth Development,Depok,"Photography, Health education, Public relation",>20
E256,Youth Development,Tangerang,Art therapy,18-24
E257,Youth Development,Jawa Barat,"Leadership development, Volunteer management",18-24
E258,Youth Development,Kalimantan Selatan,Mentoring,>18
E259,Youth Development,"Maluku, Banda Neira","Team building, English language tutoring",>20
E260,Youth Development,Bogor,"Event planning, Tutoring",16-38
E261,Youth Development,"Maluku, Banda Neira","Advocacy, Public speaking",16-38
E262,Youth Development,Bali,"Art therapy, Public speaking",15-35
E263,Youth Development,Kalimantan Selatan,Communication,18-24
E264,Youth Development,Jawa Barat,Art therapy,16-38
E265,Youth Development,Bali,Public relation,>20
E266,Youth Development,Jabodetabek,"Event planning, Public relation",16-38
E267,Youth Development,Bali,Public relation,18-24
E268,Youth Development,Kalimantan Selatan,Public relation,18-24
E269,Youth Development,Bekasi,"First aid, Volunteer management",All
E270,Youth Development,Yogyakarta,"Content creation, Volunteer management",21-27
E271,Youth Development,"Maluku, Banda Neira","Computer literacy, Health education",>20
E272,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E273,Youth Development,Yogyakarta,"Public speaking, Public speaking",18-24
E274,Youth Development,Bekasi,Computer literacy,18-24
E275,Youth Development,Bali,"Communication, Volunteer management",17-30
E276,Youth Development,Bali,"Event planning, Tutoring, Youth mentoring",>17
E277,Youth Development,Yogyakarta,"Mentoring, Tutoring, Teaching",15-35
E278,Youth Development,Bali,Content creation,16-38
E279,Youth Development,Yogyakarta,"Art therapy, Volunteer management",18-24
E280,Youth Development,Bali,Mentoring,>17
E281,Youth Development,Bali,"Mentoring, Public speaking",16-38
E282,Youth Development,Tangerang,"Public speaking, Youth mentoring",18-24
E283,Youth Development,Depok,Leadership development,15-35
E284,Youth Development,Bandung,"Event planning, Youth mentoring",16-38
E285,Youth Development,Bandung,Public speaking,18-24
E286,Youth Development,Bekasi,Volunteer coordination,21-27
E287,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",All
E288,Youth Development,Bandung,"Public speaking, Event coordination, Public relation",>20
E289,Youth Development,Yogyakarta,"Computer literacy, Tutoring",>18
E290,Youth Development,Bogor,"Public speaking, Health education",21-27
E291,Youth Development,Bali,Event planning,>18
E292,Youth Development,Bandung,"Communication, Event coordination",>18
E293,Youth Development,Bali,"Volunteer coordination, Youth mentoring",16-38
E294,Youth Development,Bandung,Content creation,All
E295,Youth Development,Jawa Barat,"Communication, Team building",All
E296,Youth Development,Bali,"Content creation, Event coordination, Public relation",>17
E297,Youth Development,Jabodetabek,Content creation,15-35
E298,Youth Development,Bogor,"Public relation, English language tutoring",18-24
E299,Youth Development,Bogor,"Volunteer coordination, Event coordination",18-24
E300,Youth Development,Kalimantan Selatan,Content creation,16-38
E301,Youth Development,Jabodetabek,"Art therapy, English language tutoring",16-38
E302,Youth Development,Kalimantan Selatan,"Art therapy, Public speaking",All
E303,Youth Development,Bandung,Environmental education,17-30
E304,Youth Development,"Maluku, Banda Neira","Public relation, Leadership training",17-30
E305,Youth Development,Bekasi,Team building,18-24
E306,Youth Development,"Maluku, Banda Neira","Team building, Volunteer management",18-24
E307,Youth Development,Bogor,Public relation,18-24
E308,Youth Development,Indonesia,"Advocacy, Leadership training",18-24
E309,Youth Development,Bali,"Content creation, Public speaking",16-38
E310,Youth Development,Jabodetabek,"Art therapy, Public speaking",15-35
E311,Youth Development,Jawa Barat,"First aid, Public speaking",All
E312,Youth Development,Indonesia,Event planning,>18
E313,Youth Development,Bekasi,"Team building, Teaching",21-27
E314,Youth Development,Jawa Barat,"Public relation, Team building",15-35
E315,Youth Development,Jakarta,"Leadership development, Event coordination, Public relation",18-24
E316,Youth Development,Bali,Volunteer coordination,15-35
E317,Youth Development,Indonesia,"Public relation, Health education",All
E318,Youth Development,Depok,"Art therapy, Public speaking",18-24
E319,Youth Development,Depok,"Leadership development, Tutoring",15-35
E320,Youth Development,Yogyakarta,"Art therapy, Team management, Public relation",16-38
E321,Youth Development,Yogyakarta,Advocacy,18-24
E322,Youth Development,Bali,"Team building, Leadership training",17-30
E323,Youth Development,Jakarta,"Leadership development, Leadership training",All
E324,Youth Development,Yogyakarta,"Volunteer coordination, Team building",18-24
E325,Youth Development,Jabodetabek,"Mentoring, English language tutoring",18-24
E326,Youth Development,Bali,"Communication, Event coordination",All
E327,Youth Development,Bali,"Environmental education, Teaching",>20
E328,Youth Development,Kalimantan Selatan,"Environmental education, Health education",16-38
E329,Youth Development,Tangerang,Public speaking,18-24
E330,Youth Development,Depok,"Advocacy, Public speaking",21-27
E331,Youth Development,Yogyakarta,"Mentoring, Tutoring, Teaching",15-35
E332,Youth Development,Tangerang,"Mentoring, Team building",21-27
E333,Youth Development,Jakarta,"Event planning, Event coordination",17-30
E334,Youth Development,Tangerang,"Volunteer coordination, Leadership training",All
E335,Youth Development,Jakarta,"Event planning, Event coordination",21-27
E336,Youth Development,"Maluku, Banda Neira","Volunteer coordination, Event coordination",>17
E337,Youth Development,Yogyakarta,Leadership development,18-24
E338,Youth Development,Bekasi,"Team building, Health education",All
E339,Youth Development,Indonesia,"Leadership development, Youth mentoring",15-35
E340,Youth Development,Indonesia,"Leadership development, Leadership training",All
E341,Youth Development,Jakarta,"Event planning, Event coordination, Public speaking",21-27
E342,Youth Development,Bali,"Team building, Team building",All
E343,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E344,Youth Development,Tangerang,"Public relation, Health education",All
E345,Youth Development,Tangerang,"Volunteer coordination, Leadership training",15-35
E346,Youth Development,Jabodetabek,"Leadership development, Event coordination",17-30
E347,Youth Development,Bekasi,"Communication, Team management",15-35
E348,Youth Development,Bekasi,Environmental education,18-24
E349,Youth Development,Bogor,"Leadership development, Health education",>18
E350,Youth Development,Yogyakarta,"Art therapy, Public speaking, Public relation",15-35
E351,Youth Development,Bali,"Communication, Teaching",16-38
E352,Youth Development,Jakarta,"Leadership development, Health education, English language tutoring",>20
E353,Youth Development,"Maluku, Banda Neira",Public speaking,18-24
E354,Youth Development,Yogyakarta,"Art therapy, Team building, Youth mentoring",16-38
E355,Youth Development,Bali,Content creation,18-24
E356,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E357,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E358,Youth Development,Bali,Computer literacy,All
E359,Youth Development,Depok,"Volunteer coordination, Volunteer management",18-24
E360,Youth Development,Bali,Environmental education,18-24
E361,Youth Development,Bekasi,"Environmental education, Event coordination, Public relation",>17
E362,Youth Development,Indonesia,"Leadership development, Public relation",17-30
E363,Youth Development,Bali,"Communication, Volunteer management",All
E364,Youth Development,Yogyakarta,"Volunteer coordination, Health education",17-30
E365,Youth Development,Jawa Barat,"Communication, Volunteer management",All
E366,Youth Development,Jakarta,"Leadership development, Event coordination, Public relation",>20
E367,Youth Development,Depok,"Leadership development, Volunteer management",18-24
E368,Youth Development,Tangerang,"Event planning, Volunteer management",All
E369,Youth Development,Jakarta,Environmental education,18-24
E370,Youth Development,Indonesia,Advocacy,>18
E371,Youth Development,Bali,"Content creation, Volunteer management",15-35
E372,Youth Development,Kalimantan Selatan,Event planning,18-24
E373,Youth Development,Tangerang,"Public relation, Team building",All
E374,Youth Development,Yogyakarta,"Environmental education, Team management",17-30
E375,Youth Development,Depok,Art therapy,>20
E376,Youth Development,Bali,Computer literacy,All
E377,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E378,Youth Development,Bekasi,"Art therapy, Public speaking",16-38
E379,Youth Development,Depok,"Volunteer coordination, Team building",All
E380,Youth Development,Bekasi,Environmental education,16-38
E381,Youth Development,Jawa Barat,"Event planning, Leadership training, Public relation",>20
E382,Youth Development,Depok,First aid,17-30
E383,Youth Development,Depok,"Public relation, Health education",All
E384,Youth Development,Indonesia,"Content creation, Public speaking",16-38
E385,Youth Development,Jabodetabek,"Communication, Public speaking",16-38
E386,Youth Development,Yogyakarta,"Team building, Leadership training",18-24
E387,Youth Development,Jawa Barat,"Computer literacy, Leadership training",18-24
E388,Youth Development,Bekasi,"Public relation, Team building",>17
E389,Youth Development,Bali,"Volunteer coordination, Volunteer management",16-38
E390,Youth Development,Bogor,"Event planning, Event coordination",15-35
E391,Youth Development,Tangerang,Art therapy,18-24
E392,Youth Development,Bali,"Mentoring, Tutoring, Teaching",15-35
E393,Youth Development,Bekasi,"Public relation, Leadership training",>17
E394,Youth Development,Depok,"Communication, Public speaking",16-38
E395,Youth Development,"Maluku, Banda Neira","First aid, Leadership training",18-24
E396,Youth Development,Jabodetabek,"Team building, English language tutoring",16-38
E397,Youth Development,Jakarta,"Photography, Volunteer management",>17
E398,Youth Development,Jawa Barat,"Public speaking, Tutoring",16-38
E399,IT,Solo,"Medical coding, Data analysis, Unnamed: 5",>18
E400,IT,Yogyakarta,Computer literacy,16-38
E401,IT,Bali,"Data analysis, Computer programming",>17
E402,IT,Yogyakarta,"Customer service, Emergency response, Administrative tasks",16-38
E403,IT,Jakarta,"Data analysis, Computer literacy, Computer literacy",16-38
E404,IT,Tangerang,Lab technician,17-30
E405,IT,Indonesia,"Data management, Computer programming",16-38
E406,IT,Bandung,"Data management, Web development",All
E407,IT,Bali,"Visual communication, Computer programming, Data analysis",21-27
E408,IT,Jawa Barat,"Customer service, Computer programming",All
E409,IT,Indonesia,"Data analysis, Computer literacy, Computer literacy",17-30
E410,IT,Yogyakarta,"Computer literacy, Graphic design, Data analysis",15-35
E411,IT,Yogyakarta,"Customer service, Emergency response, Creative design",16-38
E412,IT,"Maluku, Banda Neira","Database management, Web development, Data analysis",18-24
E413,IT,Bali,"Data management, Web development",All
E414,IT,Yogyakarta,"Database management, Photography",>17
E415,IT,Yogyakarta,"Visual communication, Emergency response, Creative design",18-24
E416,IT,Bandung,"Data management, Emergency response, Web development",17-30
E417,IT,Indonesia,Web development,16-38
E418,IT,"Maluku, Banda Neira","Database management, Web development, Data analysis",18-24
E419,IT,Tangerang,"Lab technician, Computer literacy",>20
E420,IT,Yogyakarta,"Database management, Creative design",18-24
E421,IT,Yogyakarta,"Database management, Web development, Data analysis",18-24
E422,IT,Indonesia,"Web development, Computer programming",15-35
E423,IT,Tangerang,"Customer service, Web development, Data analysis",>20
E424,IT,Jawa Barat,"Lab technician, Graphic design, Web development",18-24
E425,IT,Jawa Barat,"Customer service, Web development, Data analysis",18-24
E426,IT,Jawa Barat,"Data analysis, Computer programming, Computer literacy",16-38
E427,IT,Indonesia,"Data management, Data analysis",18-24
E428,IT,Jakarta,"Computer literacy, Web development",>20
E429,IT,Tangerang,"Data analysis, Computer literacy",All
E430,IT,Yogyakarta,"Visual communication, Graphic design, Creative design",15-35
E431,IT,Bandung,"Graphic design, Web development",>17
E432,IT,Tangerang,"Lab technician, Emergency response, Creative design",17-30
E433,IT,Jawa Barat,"Customer service, Lab assistance, Computer literacy",17-30
E434,IT,Jawa Barat,"Data analysis, Emergency response, Administrative tasks",18-24
E435,IT,Bali,"Data analysis, Computer literacy, Computer literacy",16-38
E436,IT,Yogyakarta,"Web development, Computer programming",15-35
E437,IT,Indonesia,"Lab technician, Computer literacy",All
E438,IT,Bandung,"Database management, Graphic design, Administrative tasks",18-24
E439,IT,Bali,"Data analysis, Computer literacy, Computer literacy",16-38
E440,IT,Indonesia,"Visual communication, Graphic design, Creative design",All
E441,IT,Tangerang,"Web development, Lab assistance",17-30
E442,IT,"Maluku, Banda Neira","Lab technician, Creative design",18-24
E443,IT,Bali,"Data analysis, Lab assistance, Computer literacy",>20
E444,IT,Bali,"Data analysis, Computer literacy, Computer literacy",16-38
E445,IT,Tangerang,"Lab technician, Computer programming",21-27
E446,IT,"Maluku, Banda Neira",Computer literacy,17-30
E447,IT,Bali,"Lab technician, Computer literacy",16-38
E448,IT,Yogyakarta,"Graphic design, Emergency response",15-35
E449,IT,"Maluku, Banda Neira","Database management, Web development, Administrative tasks",18-24
E450,IT,Yogyakarta,"Visual communication, Graphic design, Creative design",15-35
E451,IT,Yogyakarta,"Customer service, Emergency response, Administrative tasks",18-24
E452,IT,Tangerang,"Database management, Web development, Computer literacy",16-38
E453,IT,Tangerang,"Web development, Computer programming",21-27
E454,IT,"Maluku, Banda Neira","Data management, Data analysis",18-24
E455,IT,Bali,Data analysis,21-27
E456,IT,Tangerang,"Computer literacy, Lab assistance",21-27
E457,IT,Jawa Barat,"Web development, Computer literacy, Web development",15-35
E458,IT,Yogyakarta,"Visual communication, Graphic design, Creative design",15-35
E459,IT,Bali,"Graphic design, Graphic design",15-35
E460,IT,Yogyakarta,"Graphic design, Photography",>20
E461,IT,"Maluku, Banda Neira","Customer service, Web development, Administrative tasks",18-24
